title,kicker,link,image,scrape_date,title_word_count,title_char_count,capital_words
DRGT gears up for ICE 2025 Barcelona with range of player-centric solutions,"TO HIGHLIGHT CASHLESS TECH, MARKETING SOLUTIONS",https://www.yogonet.com/international/news/2024/12/09/88002-drgt-gears-up-for-ice-2025-barcelona-with-range-of-playercentric-solutions,https://imagenesyogonet.b-cdn.net/data/imagenes/2024/11/20/70169/1732117363-drgt-dranalytics.jpg,2024-12-10T11:12:35.262659,12,75,"['DRGT', 'ICE', 'Barcelona']"
"""Crash Gambler's fairness scale helps players evaluate a game's fairness simply by examining the scores given""","JURE HODNIK, PRODUCT OPERATIONS SPECIALIST",https://www.yogonet.com/international/news/2024/12/09/86861--34crash-gambler-39s-fairness-scale-helps-players-evaluate-a-game-39s-fairness-simply-by-examining-the-scores-given-34,https://imagenesyogonet.b-cdn.net/data/imagenes/2024/12/06/70712/1733489214-entrevista-jure-hodnik-product-operations-specialist-crash-gambler.jpg,2024-12-10T11:12:35.262763,16,110,"[""Gambler's""]"
Aristocrat Interactive enters Kentucky Lottery market with premium eInstant games,IN PARTNERSHIP WITH IGT GLOBAL SOLUTIONS,https://www.yogonet.com/international/news/2024/12/09/87726-aristocrat-interactive-enters-kentucky-lottery-market-with-premium-einstant-games,https://imagenesyogonet.b-cdn.net/data/imagenes/2024/06/27/65637/1719500036-aristocrat-interactive.jpg,2024-12-10T11:12:35.262844,10,81,"['Aristocrat', 'Interactive', 'Kentucky', 'Lottery']"
Skilrock-sponsored LatAm gaming industry webinar successfully concludes,"EVOLVE, UNIFY, THRIVE: LATAM GAMING EVOLUTION",https://www.yogonet.com/international/news/2024/12/09/87712-skilrocksponsored-latam-gaming-industry-webinar-successfully-concludes,https://imagenesyogonet.b-cdn.net/data/imagenes/2024/12/05/70671/1733405136-skilrock-technologies-ngx-webinar-transformacion-juego-gracias.jpg,2024-12-10T11:12:35.262915,7,71,"['Skilrock-sponsored', 'LatAm']"
Play'n GO receives Malta Gaming Authority's ESG-C Tier 2 Seal for its ESG efforts and reporting,2023 SUSTAINABILITY REPORT,https://www.yogonet.com/international/news/2024/12/09/87721-play-39n-go-receives-malta-gaming-authority-39s-esgc-tier-2-seal-for-its-esg-efforts-and-reporting,https://imagenesyogonet.b-cdn.net/data/imagenes/2024/12/06/70729/1733505670-play-n-go-mga-esg-c-tier-2-certification.jpg,2024-12-10T11:12:35.263038,16,95,"[""Play'n"", 'GO', 'Malta', 'Gaming', ""Authority's"", 'ESG-C', 'Tier', 'Seal', 'ESG']"
DATA.BET partners with Airhead Ventures for betting solution integration,60+ DISCIPLINES WITH UP TO 1-SEC BET DELAYS,https://www.yogonet.com/international/news/2024/12/06/87595-databet-partners-with-airhead-ventures-for-betting-solution-integration,https://imagenesyogonet.b-cdn.net/data/imagenes/2024/12/05/70669/1733404053-alianza-data-bet-airhead-ventures.jpg,2024-12-10T11:12:35.263095,9,72,"['DATA.BET', 'Airhead', 'Ventures']"
Macau Legend accuses Cape Verde of unilateral contract termination in casino project,PLANS LEGAL ACTION,https://www.yogonet.com/international/news/2024/12/06/87713-macau-legend-accuses-cape-verde-of-unilateral-contract-termination-in-casino-project,https://imagenesyogonet.b-cdn.net/data/imagenes/2023/07/05/55993/1688574172-vista-cabo-verde.jpg,2024-12-10T11:12:35.263213,12,84,"['Macau', 'Legend', 'Cape', 'Verde']"
"SAGSE Panama 2025 launches exclusive pre-sale ""with support from industry leaders""",16TH EDITION,https://www.yogonet.com/international/news/2024/12/09/88003-sagse-panama-2025-launches-exclusive-presale-34with-support-from-industry-leaders-34,https://imagenesyogonet.b-cdn.net/data/imagenes/2023/07/07/56049/1688734708-sortis-hotel-spa-casino-panama-01.jpg,2024-12-10T11:12:35.263261,11,82,"['SAGSE', 'Panama']"
Vietnam's new Decree 147 enforces stricter regulations on online gaming industry,TO PROTECT MINORS AND STREAMLINE LICENSING,https://www.yogonet.com/international/news/2024/12/05/87586-vietnam-39s-new-decree-147-enforces-stricter-regulations-on-online-gaming-industry,https://imagenesyogonet.b-cdn.net/data/imagenes/2022/05/23/45831/1653314546-vista-ho-chi-minh-vietnam.jpg,2024-12-10T11:12:35.263359,11,80,"[""Vietnam's"", 'Decree']"
"BMM Innovation Group launches Brazil Hub, a gateway to the country's iGaming and sports betting market","IN PORTUGUESE, ENGLISH, SPANISH",https://www.yogonet.com/international/news/2024/12/06/87691-bmm-innovation-group-launches-brazil-hub-a-gateway-to-the-country-39s-igaming-and-sports-betting-market,https://imagenesyogonet.b-cdn.net/data/imagenes/2024/12/06/70722/1733495957-bmm-testlabs-lanzamiento-brazil-hub-marzia-turrini.jpg,2024-12-10T11:12:35.263417,16,102,"['BMM', 'Innovation', 'Group', 'Brazil', 'Hub,']"
Betfair takes key step in securing Brazilian betting license with $5 million payment,LEGAL OPERATIONS FROM JANUARY 1 2025,https://www.yogonet.com/international/news/2024/12/06/87603-betfair-takes-key-step-in-securing-brazilian-betting-license-with-5-million-payment,https://imagenesyogonet.b-cdn.net/data/imagenes/2021/03/18/35618/1625368204-betfair-mobile.jpg,2024-12-10T11:12:35.263610,13,84,"['Betfair', 'Brazilian']"
Missouri voters approve sports betting measure by narrow margin,CLEARING PATH FOR 2025 ROLLOUT,https://www.yogonet.com/international/news/2024/12/06/87696-missouri-voters-approve-sports-betting-measure-by-narrow-margin,https://imagenesyogonet.b-cdn.net/data/imagenes/2019/06/13/26001/1625329682-apuestas-deportivas-generica-24.jpg,2024-12-10T11:12:35.263753,9,63,['Missouri']
Alpha Affiliates dives into how to thrive in the Australian iGaming market,COMPANY ANALYSIS,https://www.yogonet.com/international/news/2024/12/06/87685-alpha-affiliates-dives-into-how-to-thrive-in-the-australian-igaming-market,https://imagenesyogonet.b-cdn.net/data/imagenes/2024/12/06/70706/1733487756-alpha-affiliates-winning-formula-australia.jpg,2024-12-10T11:12:35.263880,12,74,"['Alpha', 'Affiliates', 'Australian']"
Michigan: Grand Traverse Band announces new gaming facility in Benzie County,TIMELINE YET TO BE ANNOUNCED,https://www.yogonet.com/international/news/2024/12/05/87592-michigan-grand-traverse-band-announces-new-gaming-facility-in-benzie-county,https://imagenesyogonet.b-cdn.net/data/imagenes/2024/12/05/70683/1733412295-turtle-creek-casino-hotel-michigan-02.jpg,2024-12-10T11:12:35.263952,11,76,"['Michigan:', 'Grand', 'Traverse', 'Band', 'Benzie', 'County']"
"UK: Rainbow Casino closes doors suddenly, leaving Bristol with only one casino",IMMEDIATE SHUTDOWN STIRS UNCERTAINTY,https://www.yogonet.com/international/news/2024/12/06/87599-uk-rainbow-casino-closes-doors-suddenly-leaving-bristol-with-only-one-casino-,https://imagenesyogonet.b-cdn.net/data/imagenes/2024/12/05/70685/1733419129-rainbow-casino-bristol.jpg,2024-12-10T11:12:35.264017,12,78,"['UK:', 'Rainbow', 'Casino', 'Bristol']"
Clark County commissioners greenlight north-Strip resort and arena project,LVXP PROJECT COMES WITH NBA ARENA,https://www.yogonet.com/international/news/2024/12/05/87620-clark-county-commissioners-greenlight-northstrip-resort-and-arena-project,https://imagenesyogonet.b-cdn.net/data/imagenes/2024/12/05/70702/1733428760-lvxp-resorts-las-vegas-render-02.jpg,2024-12-10T11:12:35.264108,9,74,"['Clark', 'County']"
AGEM Index sees 8.3% increase in November with Aristocrat as the largest positive contributor,AN INCREASE OF 126.17 POINTS,https://www.yogonet.com/international/news/2024/12/05/87578-agem-index-sees-83-increase-in-november-with-aristocrat-as-the-largest-positive-contributor,https://imagenesyogonet.b-cdn.net/data/imagenes/2024/12/05/70672/1733405309-agem-index-2024-noviembre.jpg,2024-12-10T11:12:35.264245,14,93,"['AGEM', 'Index', 'November', 'Aristocrat']"
Nebraska: Grand Island casino seeing customer influx a year after retail sports betting launch,"OWING TO FOOTBALL, OLYMPICS",https://www.yogonet.com/international/news/2024/12/06/87602-nebraska-grand-island-casino-seeing-customer-influx-a-year-after-retail-sports-betting-launch,https://imagenesyogonet.b-cdn.net/data/imagenes/2023/04/05/53529/1680715152-vincent-fiala-casino-manager-grand-island-casino-resort.jpg,2024-12-10T11:12:35.264435,14,94,"['Nebraska:', 'Grand', 'Island']"
Play’n GO launches new adventure-themed video slot Lion Saga Odyssey,SET IN THE AFRICAN SAVANNAH,https://www.yogonet.com/international/news/2024/12/06/87596-playn-go-launches-new-adventurethemed-video-slot-lion-saga-odyssey,https://imagenesyogonet.b-cdn.net/data/imagenes/2024/12/05/70684/1733415190-play-n-go-lion-saga-odyssey.jpg,2024-12-10T11:12:35.264702,10,68,"['Play’n', 'GO', 'Lion', 'Saga', 'Odyssey']"
"Hector Fernandez appointed as CEO of joint Everi-IGT enterprise, to assume role in Q4 2025",FORMER CEO OF ARISTOCRAT,https://www.yogonet.com/international/news/2024/12/06/87688-hector-fernandez-appointed-as-ceo-of-joint-everiigt-enterprise-to-assume-role-in-q4-2025,https://imagenesyogonet.b-cdn.net/data/imagenes/2022/10/13/49709/1665667769-g2e-2022-1-44-hector-fernandez-aristocrat.jpg,2024-12-10T11:12:35.264786,15,90,"['Hector', 'Fernandez', 'CEO', 'Everi-IGT', 'Q4']"
Brazil Senate delays vote on casino legalization bill to 2025,"BILL 2,234/2022",https://www.yogonet.com/international/news/2024/12/06/87694-brazil-senate-delays-vote-on-casino-legalization-bill-to-2025,https://imagenesyogonet.b-cdn.net/data/imagenes/2024/08/09/66801/1723206126-audiencia-legalizacion-casinos-senado-brasil-01.jpg,2024-12-10T11:12:35.264860,10,61,"['Brazil', 'Senate']"
Kansas and Missouri lawmakers introduce bills to ban smoking in state-owned casinos,STARTING IN 2025,https://www.yogonet.com/international/news/2024/12/06/87609-kansas-and-missouri-lawmakers-introduce-bills-to-ban-smoking-in-stateowned-casinos,https://imagenesyogonet.b-cdn.net/data/imagenes/2023/03/07/52759/1678190980-smoking-fumar-cigarrillo-casino-generica-02.jpg,2024-12-10T11:12:35.264928,12,83,"['Kansas', 'Missouri']"
British Horseracing Authority appoints interim CEO as leadership transitions begin,TO TAKE OVER ON JANUARY 1 2025,https://www.yogonet.com/international/news/2024/12/05/87589-british-horseracing-authority-appoints-interim-ceo-as-leadership-transitions-begin,https://imagenesyogonet.b-cdn.net/data/imagenes/2024/12/05/70686/1733419198-brant-dunshea-interim-ceo-british-horseracing-authority.jpg,2024-12-10T11:12:35.265036,10,82,"['British', 'Horseracing', 'Authority', 'CEO']"
FightScout chosen as winner of Gaming StartUp Challenge 6.0 at BEGE Expo,EVENT HELD IN SOFIA,https://www.yogonet.com/international/news/2024/12/06/87606-fightscout-chosen-as-winner-of-gaming-startup-challenge-60-at-bege-expo,https://imagenesyogonet.b-cdn.net/data/imagenes/2024/12/05/70688/1733419353-bege-gaming-startup-challenge-2024-03.jpg,2024-12-10T11:12:35.265141,12,72,"['FightScout', 'Gaming', 'StartUp', 'Challenge', 'BEGE', 'Expo']"
Spectrum Gaming Group unveils list of top 10 US gambling issues to watch out for in 2025,"MARTKETS, VERTICALS AND MORE",https://www.yogonet.com/international/news/2024/12/09/88034-spectrum-gaming-group-unveils-list-of-top-10-us-gambling-issues-to-watch-out-for-in-2025,https://imagenesyogonet.b-cdn.net/data/imagenes/2023/07/12/56164/1689182882-juego-slots-generica-18.jpg,2024-12-10T11:12:36.345980,17,88,"['Spectrum', 'Gaming', 'Group', 'US']"
"Kindred's in-house sportsbook goes live in Estonia, the first market launch for the product",KINDRED SPORTSBOOK PLATFORM (KSP),https://www.yogonet.com/international/news/2024/12/05/87491-kindred-39s-inhouse-sportsbook-goes-live-in-estonia-the-first-market-launch-for-the-product,https://imagenesyogonet.b-cdn.net/data/imagenes/2024/12/04/70654/1733334014-kindred-sportsbook.jpg,2024-12-10T11:12:42.101946,14,91,"[""Kindred's"", 'Estonia,']"
Robinhood CEO hints at expanding brokerage platform into sports betting,,https://www.yogonet.com/international/news/2024/12/05/87574-robinhood-ceo-hints-at-expanding-brokerage-platform-into-sports-betting,https://imagenesyogonet.b-cdn.net/data/imagenes/2024/12/05/70670/1733405082-vlad-tenev-ceo-robinhood.jpg,2024-12-10T11:12:42.787027,10,71,"['Robinhood', 'CEO']"
Las Vegas Sands CEO Rob Goldstein sells $3.2 million in stock,,https://www.yogonet.com/international/news/2024/12/04/87492-las-vegas-sands-ceo-rob-goldstein-sells-32-million-in-stock,https://imagenesyogonet.b-cdn.net/data/imagenes/2021/07/14/37620/1626271382-robert-goldstein-ceo-las-vegas-sands.jpg,2024-12-10T11:12:43.493075,11,61,"['Las', 'Vegas', 'Sands', 'CEO', 'Rob', 'Goldstein']"
Nevada casinos face 2% revenue decline in October despite record slot performance,MIXED RESULTS FOR THE MONTH,https://www.yogonet.com/international/news/2024/12/05/87573-nevada-casinos-face-2-revenue-decline-in-october-despite-record-slot-performance,https://imagenesyogonet.b-cdn.net/data/imagenes/2020/05/28/31387/1625351283-vista-las-vegas-16-strip-nevada.jpg,2024-12-10T11:12:43.493195,12,81,"['Nevada', 'October']"
New Virgin Hotels Las Vegas casino operator approved as labor dispute escalates,C&C 4455 RECEIVES PRELIMINARY APPROVAL,https://www.yogonet.com/international/news/2024/12/05/87579-new-virgin-hotels-las-vegas-casino-operator-approved-as-labor-dispute-escalates,https://imagenesyogonet.b-cdn.net/data/imagenes/2024/08/30/67370/1725033198-culinary-union-226-protestas-virgin-las-vegas-2024-agosto-03.jpg,2024-12-10T11:12:43.493240,12,79,"['New', 'Virgin', 'Hotels', 'Las', 'Vegas']"
"Netherlands: JVH Gaming to close 25 gambling arcades due to rising costs, tax increases",COMPLETE DISCONTINUATION FLAMINGO CASINO,https://www.yogonet.com/international/news/2024/12/05/87484-netherlands-jvh-gaming-to-close-25-gambling-arcades-due-to-rising-costs-tax-increases-,https://imagenesyogonet.b-cdn.net/data/imagenes/2023/12/01/60032/1701439035-juego-slots-generica-19.jpg,2024-12-10T11:12:43.493274,14,87,"['Netherlands:', 'JVH', 'Gaming']"
MGM Resorts raises resort and parking fees across all its Las Vegas Strip properties,WITH EFFECT FROM 4 DECEMBER,https://www.yogonet.com/international/news/2024/12/05/87474-mgm-resorts-raises-resort-and-parking-fees-across-all-its-las-vegas-strip-properties-,https://imagenesyogonet.b-cdn.net/data/imagenes/2021/09/21/39299/1633371931-mgm-grand-hotel-casino-vegas-05.jpg,2024-12-10T11:12:43.493336,14,84,"['MGM', 'Resorts', 'Las', 'Vegas', 'Strip']"
"70% of authorized gambling companies in Brazil opened in 2024, according to survey",AMID MARKET REGULATION,https://www.yogonet.com/international/news/2024/12/09/88009-70-of-authorized-gambling-companies-in-brazil-opened-in-2024-according-to-survey,https://imagenesyogonet.b-cdn.net/data/imagenes/2023/03/16/53000/1678980947-apuestas-deportivas-generica-29.jpg,2024-12-10T11:12:43.493402,13,82,['Brazil']
New York sports betting revenue hits record $231.6 million revenue in November,TOTAL HANDLE OF $2.27 BILLION,https://www.yogonet.com/international/news/2024/12/09/88019-new-york-sports-betting-revenue-hits-record-2316-million-revenue-in-november-,https://imagenesyogonet.b-cdn.net/data/imagenes/2021/06/03/36814/1625373002-vista-manhattan-nueva-york-02.jpg,2024-12-10T11:12:43.493468,12,78,"['New', 'York', 'November']"
"Montana sports betting handle up 7% Y-o-Y, operators return to positive GGR after disappointing October",MONTANA LOTTERY REPORT,https://www.yogonet.com/international/news/2024/12/05/87570-montana-sports-betting-handle-up-7-yoy-operators-return-to-positive-ggr-after-disappointing-october,https://imagenesyogonet.b-cdn.net/data/imagenes/2024/11/06/69753/1730906583-apuestas-deportivas-generica-40.jpg,2024-12-10T11:12:43.493505,15,103,"['Montana', 'Y-o-Y,', 'GGR', 'October']"
"Ohio sports betting handle reaches $901.4M in October, second-highest total in state history",UP 4.5% FROM PRIOR MONTH,https://www.yogonet.com/international/news/2024/12/02/87255-ohio-sports-betting-handle-reaches-9014m-in-october-secondhighest-total-in-state-history,https://imagenesyogonet.b-cdn.net/data/imagenes/2022/01/10/41812/1641821852-apuestas-online-mobile-adolescentes-generica.jpg,2024-12-10T11:12:43.493695,13,92,"['Ohio', 'October,']"
Pragmatic Play launches holiday-themed slot Gates of Olympus Xmas 1000,"6X5 SLOT, UP TO X1,000 MULTIPLIER",https://www.yogonet.com/international/news/2024/12/02/87265-pragmatic-play-launches-holidaythemed-slot-gates-of-olympus-xmas-1000,https://imagenesyogonet.b-cdn.net/data/imagenes/2024/12/02/70588/1733159197-pragmatic-play-gates-of-olympus-xmas-1000-eng.jpg,2024-12-10T11:12:44.812512,10,70,"['Pragmatic', 'Play', 'Gates', 'Olympus', 'Xmas']"
BetMGM Casino jackpots award combined $5.2M+ to two players in New Jersey on same day,,https://www.yogonet.com/international/news/2024/11/05/84191-betmgm-casino-jackpots-award-combined-52m-to-two-players-in-new-jersey-on-same-day,https://imagenesyogonet.b-cdn.net/data/imagenes/2024/11/04/69630/1730721758-betmgm-ganadores-progressive-jackpots-new-jersey.jpg,2024-12-10T11:12:45.457724,15,85,"['BetMGM', 'Casino', 'New', 'Jersey']"
Slotegrator unveils the first part of the iGaming trends 2025 report,,https://www.yogonet.com/international/news/2024/11/29/86939-slotegrator-unveils-the-first-part-of-the-igaming-trends-2025-report,https://imagenesyogonet.b-cdn.net/data/imagenes/2024/11/29/70540/1732887916-slotegrator-igaming-trends-2025-report-part-1.jpg,2024-12-10T11:12:46.085650,11,68,['Slotegrator']
"LeoVegas launches BetMGM in Sweden, its third market outside North America",FOLLOWING UK AND NETHERLAND,https://www.yogonet.com/international/news/2024/10/23/82885-leovegas-launches-betmgm-in-sweden-its-third-market-outside-north-america,https://imagenesyogonet.b-cdn.net/data/imagenes/2024/10/23/69267/1729695622-leovegas-betmgm-lanzamiento-suecia.jpg,2024-12-10T11:12:47.173986,11,74,"['LeoVegas', 'BetMGM', 'Sweden,', 'North', 'America']"
President Claudia Sheinbaum dismisses creation of new casino law,MEXICO,https://www.yogonet.com/international/news/2024/12/09/88014-president-claudia-sheinbaum-dismisses-creation-of-new-casino-law,https://imagenesyogonet.b-cdn.net/data/imagenes/2024/11/26/70341/1732624772-claudia-sheinbaum-presidente-mexico.jpg,2024-12-10T11:12:47.174108,9,64,"['President', 'Claudia', 'Sheinbaum']"
California: Graton Rancheria files lawsuit to halt Koi Nation's $600M casino plan in Sonoma County,FED GOVT. TO DECIDE BY LATE DEC.,https://www.yogonet.com/international/news/2024/12/05/87575-california-graton-rancheria-files-lawsuit-to-halt-koi-nation-39s-600m-casino-plan-in-sonoma-county,https://imagenesyogonet.b-cdn.net/data/imagenes/2021/09/16/39188/1631803741-proyecto-shiloh-resort-casino-koi-nation-03.jpg,2024-12-10T11:12:47.174171,15,98,"['California:', 'Graton', 'Rancheria', 'Koi', ""Nation's"", 'Sonoma', 'County']"
Thailand: MP Chulapong Yukate to submit second alternative bill for casino liberalization,TO BE SUBMITED ON DECEMBER 12,https://www.yogonet.com/international/news/2024/12/04/87478-thailand-mp-chulapong-yukate-to-submit-second-alternative-bill-for-casino-liberalization,https://imagenesyogonet.b-cdn.net/data/imagenes/2024/12/04/70642/1733325008-chulapong-yukate-people-party-list-mp-thailand-01.jpg,2024-12-10T11:12:47.174245,12,89,"['Thailand:', 'MP', 'Chulapong', 'Yukate']"
Sweden approves Gambling Act changes to strengthen data use in tackling illegal activities,AMENDMENTS TARGET GAMBLING INDUSTRY CRIMES,https://www.yogonet.com/international/news/2024/12/04/87364-sweden-approves-gambling-act-changes-to-strengthen-data-use-in-tackling-illegal-activities,https://imagenesyogonet.b-cdn.net/data/imagenes/2018/06/19/19500/1625240643-riksdag-parlamento-sueco.jpg,2024-12-10T11:12:47.174307,13,90,"['Sweden', 'Gambling', 'Act']"
"""Bazoom brings a unique take to the link building industry by offering a transparent marketplace and state-of-the-art experience""","KRISTOFFER KROG, HEAD OF GLOBAL PARTNERSHIPS",https://www.yogonet.com/international/news/2024/12/05/87383--34bazoom-brings-a-unique-take-to-the-link-building-industry-by-offering-a-transparent-marketplace-and-stateoftheart-experience-34,https://imagenesyogonet.b-cdn.net/data/imagenes/2024/12/04/70659/1733340162-kristoffer-krog-sales-manager-north-america-bazoom.jpg,2024-12-10T11:12:47.174381,18,129,[]
"""BGaming Loyalty addresses the iGaming industry's demand for deeper player engagement""","EVGENY RUSH, HEAD OF PRODUCT AT BGAMING",https://www.yogonet.com/international/news/2024/12/03/87355--34bgaming-loyalty-addresses-the-igaming-industry-39s-demand-for-deeper-player-engagement-34,https://imagenesyogonet.b-cdn.net/data/imagenes/2024/12/03/70604/1733233581-evgeny-rush-head-product-bgaming.jpg,2024-12-10T11:12:47.174432,11,86,['Loyalty']
"""Events like SBC Summit Latin America contribute decisively to the training and knowledge of the sector”",INTERVIEW WITH CARLOS FONSECA SARMIENTO,https://www.yogonet.com/international/news/2024/10/25/83030--34events-like-sbc-summit-latin-america-contribute-decisively-to-the-training-and-knowledge-of-the-sector,https://imagenesyogonet.b-cdn.net/data/imagenes/2024/10/23/69255/1729689449-carlos-fonseca-sarmiento-abogado-01.jpg,2024-12-10T11:12:47.174474,16,104,"['SBC', 'Summit', 'Latin', 'America']"
"DoradoBet: ""As a group we are very strong in Peru, and we want to continue strengthening our position in this market""","ALEJANDRO VÉLEZ, GENERAL MANAGER OF VIRTUALSOFT",https://www.yogonet.com/international/news/2024/11/12/84983-doradobet-34as-a-group-we-are-very-strong-in-peru-and-we-want-to-continue-strengthening-our-position-in-this-market-34,https://imagenesyogonet.b-cdn.net/data/imagenes/2024/10/31/69492/1730380840-sbc-summit-latam-2024-1-03-alejandro-velez-doradobet.jpg,2024-12-10T11:12:47.174618,21,117,"['DoradoBet:', 'Peru,']"
ICE Barcelona invites industry to nominate organizations for Landmark Awards 2025,,https://www.yogonet.com/international/news/2024/12/09/88008-ice-barcelona-invites-industry-to-nominate-organizations-for-landmark-awards-2025,https://imagenesyogonet.b-cdn.net/data/imagenes/2023/12/14/60367/1702566100-stuart-hunter-managing-director-clarion-gaming.jpg,2024-12-10T11:12:47.829149,11,81,"['ICE', 'Barcelona', 'Landmark', 'Awards']"
Casino Guru Awards adds industry experts Duncan Garvie and Monica Shafaq to panel of judges,,https://www.yogonet.com/international/news/2024/12/06/87610-casino-guru-awards-adds-industry-experts-duncan-garvie-and-monica-shafaq-to-panel-of-judges,https://imagenesyogonet.b-cdn.net/data/imagenes/2024/12/05/70695/1733425918-duncan-garvie-founder-trustee-betblocker-monica-shafaq-ceo-gordon-moody.jpg,2024-12-10T11:12:48.454902,15,91,"['Casino', 'Guru', 'Awards', 'Duncan', 'Garvie', 'Monica', 'Shafaq']"
